Symbol,Name,Last,Sector,Industry,Time,"10Y %Chg","YTD %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W Chg"
IRM,"Iron Mountain Inc",47.97,Finance,"REIT - Equity Trust Other","16:03 ET",+43.45%,-8.05%,0.82,13737771000,4491530000,450220000,1.59,5.11%,2.16
C,"Citigroup Inc",47.58,Finance,"Banks - Major Regional","16:03 ET",+67.68%,-20.98%,1.6,91041928000,79865000000,21952000000,9.34,4.46%,-26.1
CDAY,"Ceridian Hcm Holding Inc",47.21,"Computers and Technology","Internet - Software","16:00 ET",N/A,-54.63%,1.51,6893448000,1024200000,-75400000,-0.46,0.00%,-37.15
VFC,"V.F. Corp",46.7,"Consumer Staples","Textile - Apparel","16:00 ET",+36.14%,-36.14%,1.42,17637630000,11841840000,1386940000,3.18,4.37%,-35.21
TFC,"Truist Financial Corp",46.58,Finance,"Banks - Major Regional","16:00 ET",+49.89%,-20.07%,1.17,61564584000,23064000000,6440000000,5.58,4.12%,-10.41
USB,"U.S. Bancorp",46.36,Finance,"Banks - Major Regional","16:00 ET",+42.16%,-16.97%,0.98,67928032000,23714000000,7963000000,4.64,3.91%,-11.87
PNR,"Pentair Ltd",46.03,"Industrial Products","Machinery - Thermal Processing","16:03 ET",+19.80%,-37.01%,1.11,7585244000,3764800000,553000000,3.45,1.81%,-21.17
MO,"Altria Group",45.67,"Consumer Staples",Tobacco,"16:03 ET",+33.98%,-3.61%,0.5,83810688000,26013000000,2475000000,4.66,7.63%,-2.22
APA,"Apa Corp",45.63,Oils-Energy,"Oil - US Exploration & Product","16:00 ET",-47.66%,+70.21%,4.12,15558671000,7928000000,973000000,4.89,1.10%,22.91
CPB,"Campbell Soup Company",45.31,"Consumer Staples","Food - Misc & Diversified","16:00 ET",+36.13%,+4.36%,0.4,13658172000,8476000000,1002000000,2.83,3.23%,-0.01
HRL,"Hormel Foods Corp",44.89,"Consumer Staples","Food - Meat Products","16:03 ET",+196.65%,-7.72%,0.1,24638048000,11386190000,908840000,1.82,2.30%,-3.6
IR,"Ingersoll Rand Inc",44.56,"Industrial Products","Machinery - General Industrial","16:03 ET",N/A,-27.75%,1.48,17767556000,5152400000,562500000,1.99,0.18%,-2.62
IP,"International Paper Company",44.03,"Basic Materials","Paper & Related Products","15:59 ET",+50.88%,-6.22%,0.9,16166836000,19363000000,1752000000,3.95,4.29%,-19.13
CSCO,"Cisco Systems Inc",43.8,"Computers and Technology","Computer - Networks","16:00 ET",+149.91%,-30.55%,0.99,177688768000,49818000000,10591000000,3.04,3.52%,-9.78
EBAY,"Ebay Inc",43.51,Retail-Wholesale,"Internet Commerce","16:00 ET",+140.72%,-34.42%,1.15,23838072000,10420000000,13608000000,3.34,2.05%,-22.35
WRK,"Westrock Company",43.4,"Basic Materials","Paper & Related Products","16:00 ET",N/A,-1.94%,0.99,10900020000,18746100000,838300000,4.05,2.37%,-12.95
UDR,"United Dominion Realty Trust",42.94,Finance,"REIT - Equity Trust Resident","16:00 ET",+63.78%,-27.94%,0.77,13474730000,1290770000,150020000,0.48,3.58%,-6.38
EXC,"Exelon Corp",42.26,Utilities,"Utility - Electric Power","16:00 ET",+57.45%,+2.84%,0.56,41469600000,36347000000,1706000000,3.52,3.09%,8.78
BK,"Bank of New York Mellon Corp",41.87,Finance,"Banks - Major Regional","16:03 ET",+84.97%,-27.73%,1.14,32796598000,16158000000,3759000000,4.07,3.28%,-8.48
SLB,"Schlumberger N.V.",41.52,Oils-Energy,"Oil - Field Services","16:00 ET",-33.42%,+38.76%,1.9,61089792000,22929000000,1881000000,1.41,1.58%,7.37
CZR,"Caesars Entertainment Inc",41.39,"Consumer Discretionary","Leisure & Recreation Services","16:00 ET",N/A,-55.45%,2.82,8443876000,9570000000,-1019000000,-3.85,0.00%,-64.83
ALK,"Alaska Air Group",41.18,Transportation,"Transportation - Airline","16:00 ET",+126.18%,-20.65%,1.44,5119335000,6176000000,478000000,0.08,0.00%,-22.99
WBA,"Walgreens Boots Alliance",40.73,Retail-Wholesale,"Retail - Drug Stores","16:00 ET",+35.90%,-21.65%,0.55,34723676000,132509000000,2542000000,5.95,4.74%,-13.38
CMCSA,"Comcast Corp A",40.13,"Consumer Discretionary","Cable TV","16:00 ET",+149.23%,-20.01%,0.96,180603872000,116385000000,14158000000,3.34,2.69%,-17.06
